Method,LPIPS (lower=better),SSIM  (higher=better),PSNR  (higher=better),Condition Acc
Classical (pixel),0.6241976190476191,0.13784761904761905,11.439523809523811,—
Zero-shot Pix2Pix,0.6388285714285714,0.12885476190476192,11.167857142857143,0.476
Fine-tuned (ours),0.7723142857142856,0.1323,10.687142857142858,0.667
